date,price,sma,multiple,percentile,volAdjPercentile
2020-08-14,11740.86,8723.228159817343,1.3459306570033787,58.878023674729796,65.44004117344313
2020-08-15,11856.11,8728.044002283099,1.3583928820845632,60.705095213587235,66.36644364384972
2020-08-16,11853.99,8732.53375494672,1.3574511418237263,60.473494595985585,66.46937725167267
2020-08-17,11974.64,8736.682761986294,1.3706164975887627,62.50643335048893,67.16417910447761
2020-08-18,12213.76,8741.38641856925,1.397233489332613,65.46577457539887,68.32218219248585
2020-08-19,11848.09,8745.94588812785,1.3546953098673005,60.16469377251673,66.5465774575399
2020-08-20,11776.27,8748.950862633175,1.3460203976845901,58.90375707668554,66.16057642820381
2020-08-21,11788.50,8752.986687214605,1.3467972900289373,59.03242408646423,66.26351003602676
2020-08-22,11550.36,8757.787085235916,1.3188669851853165,55.429747812660835,64.46217189912507
2020-08-23,11616.12,8761.42796118721,1.3258246650118704,56.12454966546577,65.02830674215132
2020-08-24,11719.30,8765.287382610344,1.3370127006680632,57.61708697889861,65.87750900669069
2020-08-25,11578.27,8769.695582191775,1.3202594507081526,55.53268142048379,64.89963973237262
2020-08-26,11377.97,8773.190361491621,1.2969019444546055,52.62480699948533,63.45856922285126
2020-08-27,11376.57,8776.422303843221,1.2962653289214003,52.521873391662375,63.484302624807
2020-08-28,11406.80,8779.870681887362,1.2991992402549124,52.90787442099846,63.66443643849718
2020-08-29,11504.66,8784.946666095882,1.309587544852323,54.16881111682964,64.59083890890376
2020-08-30,11584.78,8790.39189516742,1.3178910753850002,55.24961399897066,65.18270715388574
2020-08-31,11678.57,8795.838125380513,1.3277379786736485,56.4076170869789,65.90324240864642
2020-09-01,11820.08,8801.523002092841,1.3429588956707272,58.51775604734946,66.98404529078744
2020-09-02,11678.17,8806.960266552507,1.326015477707092,56.15028306742151,65.92897581060217
2020-09-03,11165.15,8810.265079528153,1.267288431517529,49.25373134328358,61.966031909418426
2020-09-04,10406.85,8811.89366362252,1.1810005484929784,41.302110138960366,52.21307256819352
2020-09-05,10349.58,8811.42778082191,1.1745630275938417,40.99330931549151,51.51827071538857
2020-09-06,10168.40,8810.48368797564,1.154125129234121,39.680905815748844,47.83839423571796
2020-09-07,10163.93,8809.861117770159,1.153699664906524,39.60370560988163,47.94132784354092
2020-09-08,10181.02,8808.995957191772,1.1557526258167283,39.80957282552753,48.35306227483273
2020-09-09,10150.10,8808.627287861484,1.1522905583191894,39.37210499227998,48.044261451363866
2020-09-10,10327.29,8808.320673515975,1.172447183370606,40.83890890375707,52.110138960370556
2020-09-11,10297.93,8809.070457191772,1.169014533250963,40.555841482243956,51.77560473494596
2020-09-12,10357.77,8809.408002283099,1.175761769259014,41.04477611940299,52.753474009264025
2020-09-13,10417.39,8809.472288051742,1.182520975520628,41.353576942871854,53.937210499227994
2020-09-14,10447.59,8809.729932648392,1.185914987605996,41.68811116829645,54.606278950077204
2020-09-15,10750.10,8810.051843987814,1.2202084046635515,45.52238805970149,59.13535769428718
2020-09-16,10864.80,8811.39570129375,1.2330400605313456,46.654657745753994,60.37056098816264
2020-09-17,10902.58,8813.158819824954,1.2370793681738042,46.91199176531137,61.116829644879054
2020-09-18,10929.43,8815.075576293752,1.2398572088698094,47.09212557900154,61.70869788986104
2020-09-19,10986.35,8817.691065449002,1.2459443497810587,47.60679361811631,62.50643335048893
2020-09-20,10946.14,8819.861254375943,1.2410782911015115,47.220792588780235,62.171899125064336
2020-09-21,10741.03,8822.272406392685,1.21748970543579,45.11065362840967,59.57282552753475
2020-09-22,10463.38,8824.380715182639,1.1857350018149992,41.63664436438497,55.91868244981987
2020-09-23,10475.85,8825.846242770158,1.186950880863542,41.7910447761194,56.227483273288726
2020-09-24,10370.99,8828.207833713841,1.1747564896284939,41.01904271744725,54.42614513638703
2020-09-25,10665.25,8833.420381659047,1.2073745169890329,43.9269171384457,58.95522388059702
2020-09-26,10713.05,8839.852364916276,1.2119033154226608,44.46731857951621,59.39269171384457
2020-09-27,10716.14,8847.20864497716,1.2112450456306099,44.390118373648995,59.289758106021615
2020-09-28,10860.19,8854.219388888878,1.2265550415640212,46.16572310859496,60.91096242923314
2020-09-29,10739.41,8861.7966936834,1.2118773579565227,44.44158517756047,59.41842511580031
2020-09-30,10748.66,8869.195284436826,1.2119095381710978,44.49305198147195,59.44415851775605
2020-10-01,10777.22,8875.775190258742,1.2142290131264386,44.90478641276377,59.675759135357694
2020-10-02,10538.99,8882.656186834085,1.1864685909002521,41.739577972207925,56.38188368502316
2020-10-03,10544.65,8888.900086567723,1.1862718649822228,41.71384457025219,56.33041688111168
